OBJECTID,GRIDCODE,Shape_Length,Shape_Area,SUBBASIN,LU_NUM,LU_CODE,SOIL_NUM,SOIL_CODE,SLOPE_NUM,SLOPE_CODE,MEAN_SLOPE,AREA,UNIQUECOMB,HRUGIS
188,188,5373.948134982027100,53975.230482968036000,4,21,URLD,9768,WA229,2,23-45,33.680133819580078,5.397523051194306,4_URLD_WA229_23-45,000040002
189,189,2281.393076168838900,28915.302044389195000,4,41,FRSD,9864,WA325,1,0-23,3.237839221954346,2.891530205996950,4_FRSD_WA325_0-23,000040029
190,190,1166.045350044034400,11566.120817761579000,4,21,URLD,9768,WA229,1,0-23,18.782339096069336,1.156612082398780,4_URLD_WA229_0-23,000040003
191,191,10849.291517796461000,107307.898698425940000,4,21,URLD,9864,WA325,2,23-45,32.117137908935547,10.730789875588680,4_URLD_WA325_23-45,000040007
192,192,5019.064767579548100,54617.792750672932000,4,52,RNGB,9864,WA325,2,23-45,34.902755737304688,5.461779277994238,4_RNGB_WA325_23-45,000040061
193,193,1216.742973957676400,10280.996282458016000,4,90,WETF,9768,WA229,2,23-45,33.902156829833984,1.028099628798916,4_WETF_WA229_23-45,000040083
194,194,557.673863064032050,5783.060408889643400,4,71,RNGE,9864,WA325,1,0-23,6.724838733673096,0.578306041199390,4_RNGE_WA325_0-23,000040075
195,195,608.371486979071050,7068.184944216815000,4,90,WETF,9768,WA229,1,0-23,17.226419448852539,0.706818494799255,4_WETF_WA229_0-23,000040082
196,196,2129.300204427447200,16706.618959023050000,4,52,RNGB,9864,WA325,1,0-23,17.920206069946289,1.670661896798237,4_RNGB_WA325_0-23,000040060
197,197,202.790495659690350,1927.686802967148900,4,90,WETF,9768,WA229,3,45-66,51.545879364013672,0.192768680399797,4_WETF_WA229_45-66,000040081
198,198,4562.786152346059700,44336.796468161796000,4,22,URMD,9864,WA325,2,23-45,29.952577590942383,4.433679649195323,4_URMD_WA325_23-45,000040011
199,199,5019.064767578616700,48192.170074113805000,4,31,SWRN,9768,WA229,3,45-66,54.230209350585938,4.819217009994916,4_SWRN_WA229_45-66,000040017
200,200,2991.159810980316300,26987.615241522381000,4,31,SWRN,9768,WA229,4,66-96,75.759162902832031,2.698761525597153,4_SWRN_WA229_66-96,000040016
201,201,5069.762391489930500,65541.351300723705000,4,31,SWRN,9768,WA229,2,23-45,35.360904693603516,6.554135133593086,4_SWRN_WA229_23-45,000040018
202,202,1166.045350042637400,8995.871747142649800,4,31,SWRN,9768,WA229,1,0-23,18.953084945678711,0.899587175199051,4_SWRN_WA229_0-23,000040014
203,203,16223.239652784541000,592442.410778047050000,4,90,WETF,9864,WA325,1,0-23,3.700119733810425,59.244241109537512,4_WETF_WA325_0-23,000040090
204,204,608.371486980002370,10280.996282505233000,4,95,WETN,9768,WA229,1,0-23,8.072433471679688,1.028099628798916,4_WETN_WA229_0-23,000040091
205,205,760.464358723256740,7710.747211844987800,4,41,FRSD,9768,WA229,1,0-23,12.548882484436035,0.771074721599187,4_FRSD_WA229_0-23,000040024
206,206,557.673863064032050,4497.935873586079700,4,41,FRSD,9768,WA229,2,23-45,27.549854278564453,0.449793587599526,4_FRSD_WA229_23-45,000040025
207,207,1723.719213106669500,18634.305761984295000,4,90,WETF,9864,WA325,2,23-45,30.051586151123047,1.863430577198034,4_WETF_WA325_23-45,000040089
208,208,37110.660705727059000,335417.503715947500000,3,71,RNGE,9768,WA229,3,45-66,56.398300170898437,33.541750389564619,3_RNGE_WA229_45-66,000030063
209,209,91154.327799048740000,1294120.407057334000000,3,52,RNGB,9768,WA229,4,66-96,78.934623718261719,129.412040775063470,3_RNGB_WA229_66-96,000030054
210,210,21698.583035595715000,188270.744422934050000,3,71,RNGE,9768,WA229,2,23-45,36.735549926757813,18.827074452380138,3_RNGE_WA229_23-45,000030062
211,211,45120.885284288786000,553246.112450999210000,3,71,RNGE,9768,WA229,4,66-96,79.452735900878906,55.324611274741642,3_RNGE_WA229_66-96,000030061
212,212,6134.412493708543500,44336.796468185406000,3,71,RNGE,9768,WA229,1,0-23,15.255172729492188,4.433679649195323,3_RNGE_WA229_0-23,000030060
213,213,77618.062213780358000,1004967.386612786800000,3,52,RNGB,9768,WA229,2,23-45,34.354320526123047,100.496738715094000,3_RNGB_WA229_23-45,000030053
214,214,13384.172713535838000,129155.015798574710000,3,71,RNGE,9768,WA229,999,96-9999,109.448387145996090,12.915501586786375,3_RNGE_WA229_96-9999,000030064
215,215,3143.252682725898900,40481.422862298328000,4,23,URHD,9864,WA325,1,0-23,7.916003227233887,4.048142288395730,4_URHD_WA325_0-23,000040013
